['experimen_no', 'algorithm', 'query_strategy', 'number_of_instances', 'f1']
0,"state=0/foldid=0/ask_ids=['121:2', '111:4', '99:2', '63:4', '150:1', '108:2', '152:2', '95:1', '98:1', '49:3']",cnn-sep,lc,58,0.799003518610149
1,"state=0/foldid=0/ask_ids=['51:1', '64:1', '119:2', '72:2', '74:3', '137:1', '110:2', '126:2', '132:2', '103:2']",cnn-sep,rs,58,0.8004280223619846
0,"state=0/foldid=1/ask_ids=['126:2', '153:4', '159:1', '164:1', '138:2', '106:2', '122:2', '62:4', '105:4', '52:3']",cnn-sep,lc,58,0.8021794407251933
1,"state=0/foldid=1/ask_ids=['136:2', '61:4', '88:3', '106:2', '133:4', '113:3', '117:3', '152:2', '119:2', '153:4']",cnn-sep,rs,58,0.7935714285714285
0,"state=0/foldid=2/ask_ids=['48:3', '125:4', '108:2', '99:2', '131:1', '149:2', '50:1', '70:4', '56:4', '90:1']",cnn-sep,lc,58,0.7888188072784666
1,"state=0/foldid=2/ask_ids=['83:2', '106:2', '117:3', '99:2', '118:1', '82:3', '100:1', '119:2', '144:2', '50:1']",cnn-sep,rs,58,0.7952926702926703
0,"state=1/foldid=0/ask_ids=['58:3', '124:2', '125:4', '164:1', '49:3', '118:1', '93:2', '149:2', '102:2', '158:1']",cnn-sep,lc,58,0.8388888888888889
1,"state=1/foldid=0/ask_ids=['157:2', '84:2', '129:2', '112:2', '102:2', '106:2', '165:4', '111:4', '57:3', '126:2']",cnn-sep,rs,58,0.8375534188034188
0,"state=1/foldid=1/ask_ids=['58:3', '79:3', '160:1', '80:2', '52:2', '75:1', '111:4', '153:4', '148:3', '59:2']",cnn-sep,lc,58,0.7660294222794223
1,"state=1/foldid=1/ask_ids=['100:1', '78:1', '121:2', '156:4', '116:2', '104:3', '145:1', '61:4', '80:2', '150:1']",cnn-sep,rs,58,0.6531390817196445
0,"state=1/foldid=2/ask_ids=['128:3', '74:3', '144:3', '89:3', '69:2', '157:3', '127:2', '160:1', '104:3', '90:2']",cnn-sep,lc,58,0.7169570191309321
1,"state=1/foldid=2/ask_ids=['155:2', '56:4', '62:4', '104:3', '158:1', '72:2', '165:4', '150:1', '105:4', '138:2']",cnn-sep,rs,58,0.730679068914956
0,"state=2/foldid=0/ask_ids=['81:3', '144:3', '63:4', '64:1', '75:1', '53:2', '156:4', '149:2', '88:3', '139:2']",cnn-sep,lc,58,0.749550169713504
1,"state=2/foldid=0/ask_ids=['111:4', '50:1', '76:1', '106:2', '90:1', '116:3', '59:2', '74:3', '99:2', '127:2']",cnn-sep,rs,58,0.7144909170525868
0,"state=2/foldid=1/ask_ids=['57:3', '123:3', '91:2', '89:3', '105:4', '141:2', '130:2', '110:2', '114:2', '151:3']",cnn-sep,lc,58,0.6169165391806901
1,"state=2/foldid=1/ask_ids=['122:1', '150:1', '48:3', '95:1', '123:3', '50:1', '92:1', '143:3', '151:3', '60:1']",cnn-sep,rs,58,0.7408773291925466
0,"state=2/foldid=2/ask_ids=['161:3', '61:4', '65:4', '79:3', '84:2', '137:1', '158:1', '117:3', '134:2', '54:1']",cnn-sep,lc,58,0.7685188634341178
1,"state=2/foldid=2/ask_ids=['125:4', '142:1', '73:3', '159:1', '54:1', '107:2', '89:3', '161:3', '102:2', '132:2']",cnn-sep,rs,58,0.7507381440948473
0,"state=3/foldid=0/ask_ids=['89:3', '70:3', '141:2', '130:2', '102:2', '124:2', '127:2', '97:3', '145:1', '63:3']",cnn-sep,lc,58,0.753349046079646
1,"state=3/foldid=0/ask_ids=['139:2', '129:2', '50:1', '85:3', '113:2', '68:2', '154:1', '75:1', '165:4', '128:3']",cnn-sep,rs,58,0.5910804881393117
0,"state=3/foldid=1/ask_ids=['71:2', '50:1', '138:2', '103:2', '147:2', '113:2', '116:2', '132:2', '93:1', '157:2']",cnn-sep,lc,58,0.7336944131909521
1,"state=3/foldid=1/ask_ids=['113:2', '100:1', '117:3', '119:2', '106:2', '155:2', '101:1', '48:4', '143:3', '70:4']",cnn-sep,rs,58,0.761010097703877
0,"state=3/foldid=2/ask_ids=['85:3', '74:3', '146:1', '89:3', '122:1', '73:2', '93:1', '97:3', '84:2', '72:2']",cnn-sep,lc,58,0.7509200453383691
1,"state=3/foldid=2/ask_ids=['138:2', '69:2', '78:1', '60:1', '155:2', '66:1', '68:1', '120:4', '134:1', '115:4']",cnn-sep,rs,58,0.58778828929691
0,"state=4/foldid=0/ask_ids=['109:3', '71:3', '74:3', '147:2', '49:3', '127:2', '160:1', '102:2', '161:2', '154:1']",cnn-sep,lc,58,0.7963564213564213
1,"state=4/foldid=0/ask_ids=['135:2', '84:2', '92:1', '80:2', '51:1', '82:3', '156:4', '147:2', '111:3', '67:1']",cnn-sep,rs,58,0.7138615875688379
0,"state=4/foldid=1/ask_ids=['79:3', '148:3', '110:3', '55:3', '52:3', '147:2', '131:1', '82:3', '112:2', '69:2']",cnn-sep,lc,58,0.7171671056482296
1,"state=4/foldid=1/ask_ids=['75:1', '62:4', '129:2', '113:2', '142:1', '70:4', '139:2', '64:1', '95:1', '50:1']",cnn-sep,rs,58,0.6675232346459711
0,"state=4/foldid=2/ask_ids=['124:2', '85:3', '114:2', '91:2', '55:3', '151:3', '117:3', '49:3', '90:1', '109:3']",cnn-sep,lc,58,0.6693287037037037
1,"state=4/foldid=2/ask_ids=['99:2', '89:3', '124:2', '83:2', '130:2', '73:2', '102:2', '71:2', '52:2', '151:3']",cnn-sep,rs,58,0.7556167138585302
0,"state=5/foldid=0/ask_ids=['52:3', '65:4', '143:3', '90:1', '87:4', '49:3', '144:3', '85:3', '123:4', '130:2']",cnn-sep,lc,58,0.7816761363636363
1,"state=5/foldid=0/ask_ids=['135:2', '53:2', '85:3', '100:1', '94:2', '76:1', '57:3', '70:4', '50:1', '66:1']",cnn-sep,rs,58,0.8053315105946686
0,"state=5/foldid=1/ask_ids=['120:4', '150:1', '142:1', '110:2', '115:4', '113:2', '105:4', '54:1', '123:4', '97:3']",cnn-sep,lc,58,0.7302745147572733
1,"state=5/foldid=1/ask_ids=['156:4', '86:2', '133:4', '69:2', '78:1', '132:2', '160:1', '49:3', '139:2', '130:2']",cnn-sep,rs,58,0.5652597402597404
0,"state=5/foldid=2/ask_ids=['55:3', '90:1', '54:1', '162:2', '99:2', '129:2', '80:2', '148:3', '62:4', '82:3']",cnn-sep,lc,58,0.7584010129587174
1,"state=5/foldid=2/ask_ids=['159:1', '56:4', '53:2', '123:4', '74:3', '88:3', '65:4', '130:2', '125:4', '48:4']",cnn-sep,rs,58,0.7694852515905147
0,"state=6/foldid=0/ask_ids=['68:2', '156:4', '99:2', '48:4', '53:2', '147:2', '157:2', '75:1', '135:2', '72:2']",cnn-sep,lc,58,0.692956728891666
1,"state=6/foldid=0/ask_ids=['137:1', '136:2', '109:3', '82:3', '77:2', '122:1', '125:4', '117:3', '158:1', '80:2']",cnn-sep,rs,58,0.7320321524836351
0,"state=6/foldid=1/ask_ids=['63:4', '115:4', '161:3', '113:3', '126:2', '140:1', '71:3', '52:3', '150:1', '132:2']",cnn-sep,lc,58,0.8354166666666667
1,"state=6/foldid=1/ask_ids=['134:1', '64:1', '93:1', '122:1', '65:4', '78:1', '56:4', '127:2', '74:3', '129:2']",cnn-sep,rs,58,0.704386485417341
0,"state=6/foldid=2/ask_ids=['138:2', '143:3', '49:3', '106:2', '109:3', '123:4', '93:1', '150:1', '67:1', '89:3']",cnn-sep,lc,58,0.7462859164986826
1,"state=6/foldid=2/ask_ids=['157:2', '51:1', '63:3', '68:2', '109:3', '90:1', '131:1', '121:2', '103:2', '138:2']",cnn-sep,rs,58,0.5699977848227676
0,"state=7/foldid=0/ask_ids=['144:3', '82:3', '88:3', '122:1', '64:1', '53:2', '140:1', '107:2', '57:3', '119:2']",cnn-sep,lc,58,0.8022255522255524
1,"state=7/foldid=0/ask_ids=['98:1', '163:1', '100:1', '101:1', '63:3', '126:2', '127:2', '145:1', '142:1', '112:2']",cnn-sep,rs,58,0.7558008658008658
0,"state=7/foldid=1/ask_ids=['157:2', '78:1', '98:2', '48:3', '164:1', '68:2', '81:3', '117:3', '91:2', '106:2']",cnn-sep,lc,58,0.7218869966511476
1,"state=7/foldid=1/ask_ids=['55:3', '60:1', '52:3', '96:2', '138:2', '89:3', '131:1', '68:2', '135:2', '104:3']",cnn-sep,rs,58,0.658933658933659
0,"state=7/foldid=2/ask_ids=['143:3', '91:2', '68:2', '100:1', '73:2', '157:2', '79:3', '118:1', '124:2', '66:1']",cnn-sep,lc,58,0.6072373128774652
1,"state=7/foldid=2/ask_ids=['111:4', '136:2', '156:4', '154:1', '101:1', '64:1', '49:3', '71:2', '118:1', '69:2']",cnn-sep,rs,58,0.6091606346148193
0,"state=8/foldid=0/ask_ids=['143:3', '84:2', '95:1', '92:1', '94:2', '52:3', '80:2', '127:2', '73:2', '113:2']",cnn-sep,lc,58,0.709714783230591
1,"state=8/foldid=0/ask_ids=['138:2', '139:2', '99:2', '136:2', '70:3', '62:4', '144:3', '82:3', '165:4', '105:4']",cnn-sep,rs,58,0.6717904027727559
0,"state=8/foldid=1/ask_ids=['49:3', '105:4', '85:3', '89:3', '143:3', '55:3', '67:1', '90:1', '74:3', '132:2']",cnn-sep,lc,58,0.6807870387701034
1,"state=8/foldid=1/ask_ids=['160:1', '50:1', '59:2', '109:3', '80:2', '129:1', '140:1', '131:1', '106:2', '151:3']",cnn-sep,rs,58,0.6682401593115878
0,"state=8/foldid=2/ask_ids=['65:4', '84:2', '79:3', '48:4', '56:4', '120:4', '131:1', '158:1', '139:2', '110:3']",cnn-sep,lc,58,0.7924371760198332
1,"state=8/foldid=2/ask_ids=['67:1', '134:2', '88:3', '146:1', '148:3', '79:3', '150:1', '116:3', '163:1', '152:2']",cnn-sep,rs,58,0.7903743315508021
0,"state=9/foldid=0/ask_ids=['89:3', '51:1', '114:2', '145:2', '133:4', '57:4', '66:1', '73:3', '153:4', '108:3']",cnn-sep,lc,58,0.7541079575275547
1,"state=9/foldid=0/ask_ids=['124:2', '102:2', '147:2', '98:2', '144:3', '97:3', '78:1', '79:3', '109:3', '55:4']",cnn-sep,rs,58,0.683491871324801
0,"state=9/foldid=1/ask_ids=['52:3', '109:3', '134:2', '79:3', '146:1', '154:1', '165:4', '162:2', '91:2', '156:4']",cnn-sep,lc,58,0.7028915534804754
1,"state=9/foldid=1/ask_ids=['82:3', '63:4', '78:1', '95:1', '147:2', '60:1', '130:2', '106:2', '80:3', '53:2']",cnn-sep,rs,58,0.7060023310023311
0,"state=9/foldid=2/ask_ids=['58:3', '61:4', '162:2', '128:3', '80:2', '165:4', '139:2', '161:2', '65:4', '127:2']",cnn-sep,lc,58,0.7133892606278505
1,"state=9/foldid=2/ask_ids=['163:1', '153:4', '112:2', '140:1', '107:2', '56:4', '133:4', '90:1', '128:3', '132:2']",cnn-sep,rs,58,0.8050456479077533
